,Price,Location,URL,Date,Title,num image,bicycle frame material,bicycle type,frame size,wheel size,text,condition,make / manufacturer,part type,size / dimensions,handlebar type,model name / number,brake type,electric assist,suspension,serial number
5528,2150.0,boulder,https://boulder.craigslist.org/bik/d/boulder-small-2018-scott-gambler-720/7472708990.html,2022-04-18 09:08,Small 2018 Scott Gambler 720 PRICED WAY UNDER BLUEBOOK,15, aluminum, mountain, small, 27.5 in,New Grips  One of the best downhill bikes ever made. Works great!  This is a DOWNHILL bike intended to be used for shuttle rides and lift access terrain., good,,,,,,,, frame and fork (full suspension),
5529,100.0,boulder,https://boulder.craigslist.org/bop/d/longmont-box-of-shimano-105-parts/7464995782.html,2022-04-18 07:26,box of shimano 105 parts,3,,,,,105 builds from 4 bikes.  $100  for whole box,,,,,,,,,,
5530,200.0,boulder,https://boulder.craigslist.org/bik/d/boulder-custom-built-fly-bikes-bmx-bike/7460377658.html,2022-03-19 13:56,Custom-built Fly Bikes bmx bike,4, steel, bmx, 21, 20 in,"Custom-built bmx bike, Fly bikes frame (I believe its a 2016 model) and a bunch of high-quality parts (mixture of brands including Odyssey/Primo/Premium etc.) Tires in good condition. Has brake mounts and there is a u-brake on the frame but there is not lever/cable.   I am moving across the country and this will not fit in my car:( I have loved this bike and it will serve you well.",,,,,,,,,,
5531,150.0,boulder,https://boulder.craigslist.org/bop/d/boulder-sram-roam-30-front-wheel-29/7471838176.html,2022-04-18 01:06,"SRAM Roam 30 Front Wheel 29"" Boost Hub",7,,,,,"SRAM Roam 30 Front Wheel  29""  622 x 29C   Straight and True  15 x 110 Through Axel Hub Boost  Disc Brake mount  New Bearings Installed  Retail = $350  Located in South Boulder  More information here -- enduro-mtb (dot) com/en/first-look-sram-new-roam-30-and-roam-40-wheels/   bike bikes bicycles bicycle cycles cycle cycling mtb mountain bike off road gravel single track enduro  freeride", excellent, SRAM Roam, wheels and wheel parts," 29""",,,,,,
5532,200.0,boulder,https://boulder.craigslist.org/bik/d/boulder-schwinn-woodlands-commuter/7471915125.html,2022-04-18 01:04,Schwinn Woodlands Commuter Hybrid Bike,10, steel, hybrid/comfort," 17""", 26 in,"Original Schwinn Woodlands Mountain / Hybrid Bicycle  17"" Frame  Good Condition -- Ready to Ride  Shimano 200GS Shifters  Located in South Boulder  bikes bike cycle cycles mtb city urban commuter", good, Schwinn,,,, Woodlands,,,,
5533,800.0,boulder,https://boulder.craigslist.org/bik/d/boulder-specialized-allez-performance/7471915358.html,2022-04-18 01:04,Specialized Allez Performance Road Bike 58cm,14, aluminum, road, 58, 700C,"Specialized Allez Performance Road Bicycle  Excellent Condition  DA16 - Alexrims Shimano Tiagra Rear Shimano Sora Front Felt Seat Post Cobb Cycling Seat Scott Aero Bars  XL Frame Size 58cm  Located in South Boulder  ALLEZ  Whether you're just getting into road cycling, commuting, or just looking for a new bike, the Allez is the perfect choice. Featuring a lightweight alloy frame, carbon fiber fork, and mounts for racks and fenders, it's as performance-packed as it is versatile.  Not only does a light bike feel better when you're climbing up a hill, but it's also essential when you're carrying your bike up to the 5th floor, and this was at the forefront of the frame design. With a redesigned E5 Alloy frame, the Allez features a class-leading weight. Aggressively thin-walled, yet tough, tubes have been implemented to save weight and this results in over a 450g (1-pound) reduction in the frame and fork alone when compared to some models of yesteryear.  Speaking of the fork, entry-level road bikes often times feature either alloy or cheap carbon fiber forks that greatly detract from the overall ride quality. But with a full FACT carbon fiber fork, the Allez is better handling, smoother riding, and lower in weight—floating over rough chip-seal and carving through corners like a slalom skier. For the geometry, we developed the Allez by utilizing our vast Retül fit database. This meant creating a geometry that's sure to cover a broad range of positions, while still providing the performance-minded handling you'd expect from your first bike.  This Allez also features integrated rack and fender mounts, allowing you to get weight of your backpack of you and onto a lightweight rack. This not only makes for a good road bike, but it also enables you to transform it into a fast commuter. And for the build, this Allez features reliable Shimano Claris shifting, durable Axis Sport alloy wheels, and well-protected Espoir Sport tires.  E5 Premium Aluminum frame features fully manipulated tubing with Smooth Welds that increase stiffness and efficiency, while looking just as good as it performs.  Specialized FACT carbon, full monocoque fork designed for high-speed handling.", excellent, Specialized,,,, Allez,,,,
5534,150.0,boulder,https://boulder.craigslist.org/bik/d/boulder-trek-mountain-train-child-bike/7471915431.html,2022-04-18 01:04,Trek Mountain Train Child Bike Trailer Tag Along,9, steel, kids, 20, 20 in,TREK Mountain Train Child Bicycle Trainer Trailer  Folds in half for easy storage  Excellent Condition - Includes New Trek Adapter Hitch  It's a great fit for kids 45-52˝ tall.  Located in South Boulder   kid kids child children cycle bikes cycles bicycles .., excellent, Trek,,,, Mountain Train,,,,
5535,300.0,boulder,https://boulder.craigslist.org/bik/d/boulder-kids-black-specialized-mountain/7470621128.html,2022-04-17 22:48,"Kids Black Specialized Mountain Bike - 26"" Wheels - 4'5-4'10 Riders",0,,,,,,,,,,,,,,,
5536,2000.0,boulder,https://boulder.craigslist.org/bik/d/boulder-revel-rascal-frame-medium/7472580281.html,2022-04-17 20:20,Revel Rascal Frame Medium,0,,,,,,,,,,,,,,,
5537,200.0,boulder,https://boulder.craigslist.org/bik/d/longmont-specialized-crossroads-womens/7472514632.html,2022-04-17 15:57,Specialized Crossroads Womens Road Bike,17, aluminum, road, Womens?, 700C,"I have this specialized road bike in excellent condition for sale. It’s a perfect commuter for a student. Accessories include padded gel seat cover, kick stand, bar ends (removable) and a nice rack on the back for toting whatever your heart desires.   Bike is 10+ years old but has been stored inside so it’s in excellent condition and rides like new. Shifts fine and the brakes work as they should. I’m 5 foot 10 and 165 pounds and the bike felt sturdy when I rode it up and down the street. Obviously several adjustments can be made to the bike to fit your size. I put a new tube in the rear wheel.   Turns out my wife will NOT be riding bikes with me so I’m putting this up for sale. Pick up preferred but I might be able to meet you halfway with this. I do get to Denver occasionally. Feel free to call or text with questions you may have. Craigslist emails typically go to spam in my experience so please just call or text. Thanks",,,,,,,,,,
